intersection_name,osm_node_id,,,Google Earth Data,,,,OSM Generated Data,,,,UTDF Data,,,,OSM and Google Earth Data Comparison,,,,,UTDF and Google Earth Data Comparison,,,,,OSM and Google Earth Data KPI,,,,,UTDF and Google Earth Data KPI,,,,
,,mvmt_txt_id,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,
SR 95 & Mohave,175233447,SBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,SBT,,1,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & Mohave,175233447,SBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,SBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Mohave,175233447,SBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Mohave,175233447,EBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,EBT,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,EBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,EBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Mohave,175233447,EBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Mohave,175233447,WBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,WBT,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,WBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Mohave,175233447,WBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Mohave,175233447,WBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,NBL,,1,-114.5675232,35.1531317,,1,-114.56747,35.15312,,1,,,,0,,-5.32201E-05,1.16958E-05,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,NBT,,1,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & 7th Street,1464400520,NBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,NBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,NBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,SBL,,1,,,,1,,,,1,,,,1,,0,0,,1,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,SBT,,1,,,,1,,,,2,,,,1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & 7th Street,1464400520,SBR,,0,,,,1,,,,0,,,,-1,,0,0,,0,,,,,0,,,,,1,,,,
SR 95 & 7th Street,1464400520,SBTL,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,SBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,EBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,EBT,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,EBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,EBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,EBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,WBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,WBT,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,WBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & 7th Street,1464400520,WBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & 7th Street,1464400520,WBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,75,"UTDF has low numbers also because it failed to provide, Rancho, Laughlin and SilverCreek numbers",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
